,,APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,fluctuation
8,13419,MALKAPUR,PIGEON PEA TUR,2015,JANUARY,399,3911,4667,4397,2015-01,BULDHANA,MAHARASHTRA,756
8,20236,RAVER,PIGEON PEA TUR,2015,MARCH,337,4427,5183,5068,2015-03,JALGAON,MAHARASHTRA,756
12,40367,INDAPUR,SORGUMJAWAR,2015,AUGUST,93,1618,2374,2036,2015-08,PUNE,MAHARASHTRA,756
12,22275,MANTHA,SORGUMJAWAR,2014,NOVEMBER,39,1400,2156,1656,2014-11,JALNA,MAHARASHTRA,756
8,57765,WASHIM,PIGEON PEA TUR,2016,JANUARY,77424,8924,9679,9243,2016-01,WASIM,MAHARASHTRA,755
12,47415,SANGALI,SORGUMJAWAR,2016,JULY,6194,1724,2479,2223,2016-07,SANGLI,MAHARASHTRA,755
3,44882,PUNE,GRNUT KERNELS,2014,OCTOBER,871,6700,7455,7077,2014-10,PUNE,MAHARASHTRA,755
8,19678,RAVER,PIGEON PEA TUR,2016,JANUARY,796,7301,8055,7738,2016-01,JALGAON,MAHARASHTRA,754
8,24635,LATURMURUD,PIGEON PEA TUR,2016,FEBRUARY,38,7194,7948,7671,2016-02,LATUR,MAHARASHTRA,754
17,37698,OSMANABAD,WHEATHUSKED,2015,JULY,32,1796,2550,2156,2015-07,OSMANABAD,MAHARASHTRA,754
8,21473,JALNA,PIGEON PEA TUR,2014,DECEMBER,1067,4452,5206,4973,2014-12,JALNA,MAHARASHTRA,754
2,59239,GHATANJI,COTTON,2016,MAY,3288,4225,4978,4624,2016-05,YEWATMAL,MAHARASHTRA,753
8,35744,LASALGAON,PIGEON PEA TUR,2016,MAY,21,7183,7936,7719,2016-05,NASIK,MAHARASHTRA,753
8,57163,SINDI,PIGEON PEA TUR,2016,JUNE,435,7725,8478,8250,2016-06,WARDHA,MAHARASHTRA,753
12,54272,KARMALA,SORGUMJAWAR,2016,OCTOBER,251,1584,2337,2033,2016-10,SOLAPUR,MAHARASHTRA,753
17,43691,INDAPUR,WHEATHUSKED,2016,MAY,1251,1665,2418,2059,2016-05,PUNE,MAHARASHTRA,753
12,52562,KURDWADIMODNIMB,SORGUMJAWAR,2015,JULY,690,1141,1893,1264,2015-07,SOLAPUR,MAHARASHTRA,752
8,22559,JALNA,PIGEON PEA TUR,2014,SEPTEMBER,441,3967,4719,4388,2014-09,JALNA,MAHARASHTRA,752
8,57647,KARANJA,PIGEON PEA TUR,2016,FEBRUARY,30600,7749,8500,8146,2016-02,WASIM,MAHARASHTRA,751
17,39139,SONPETH,WHEATHUSKED,2016,JULY,4,1500,2251,1825,2016-07,PARBHANI,MAHARASHTRA,751
11,14403,KHAMGAON,SESAMUM,2015,NOVEMBER,9,6400,7151,6776,2015-11,BULDHANA,MAHARASHTRA,751
12,49722,LONAND,SORGUMJAWAR,2015,MAY,294,1555,2306,1875,2015-05,SATARA,MAHARASHTRA,751
16,5994,DARYAPUR,SUNFLOWER,2014,DECEMBER,75,2550,3301,2799,2014-12,AMARAVATHI,MAHARASHTRA,751
0,1822,AKOLE,BAJRI,2016,JULY,32,1450,2200,1719,2016-07,AHMADNAGAR,MAHARASHTRA,750
7,60720,SHIRALA,PADDYUNHUSKED,2016,NOVEMBER,830,1500,2250,1875,2016-11,SANGLI,MAHARASHTRA,750
8,5844,VARUDRAJURA BAZAR,PIGEON PEA TUR,2016,AUGUST,30,5550,6300,6064,2016-08,AMARAVATHI,MAHARASHTRA,750
8,13763,JALGAON JAMODAASALGAON,PIGEON PEA TUR,2016,JUNE,2558,7957,8707,8493,2016-06,BULDHANA,MAHARASHTRA,750
8,24420,LATURMURUD,PIGEON PEA TUR,2016,AUGUST,55,5701,6451,5801,2016-08,LATUR,MAHARASHTRA,750
8,56905,SINDI,PIGEON PEA TUR,2016,AUGUST,18,6500,7250,7000,2016-08,WARDHA,MAHARASHTRA,750
8,57112,SINDI SELU,PIGEON PEA TUR,2016,JULY,548,7484,8234,7844,2016-07,WARDHA,MAHARASHTRA,750
12,10790,KADA ASHTI,SORGUMJAWAR,2016,JANUARY,373,1635,2385,1980,2016-01,BEED,MAHARASHTRA,750
17,42953,NIRASASWAD,WHEATHUSKED,2016,JUNE,681,1620,2370,1985,2016-06,PUNE,MAHARASHTRA,750
0,40325,BARAMATI,BAJRI,2015,AUGUST,73,1250,2000,1750,2015-08,PUNE,MAHARASHTRA,750
8,3484,AHMEDNAGAR,PIGEON PEA TUR,2015,OCTOBER,78,9425,10175,9850,2015-10,AHMADNAGAR,MAHARASHTRA,750
8,18094,AKHADABALAPUR,PIGEON PEA TUR,2015,DECEMBER,139,6750,7500,7125,2015-12,HINGOLI,MAHARASHTRA,750
12,38776,SAILU,SORGUMJAWAR,2015,AUGUST,50,1150,1900,1450,2015-08,PARBHANI,MAHARASHTRA,750
17,38143,UMARGA,WHEATHUSKED,2015,MAY,42,1791,2541,1971,2015-05,OSMANABAD,MAHARASHTRA,750
8,7590,DARYAPUR,PIGEON PEA TUR,2014,OCTOBER,185,4600,5350,5280,2014-10,AMARAVATHI,MAHARASHTRA,750
12,10210,KADA,SORGUMJAWAR,2015,APRIL,6269,1449,2198,1681,2015-04,BEED,MAHARASHTRA,749
17,55308,VASAI,WHEATHUSKED,2015,AUGUST,2211,1529,2278,1834,2015-08,THANE,MAHARASHTRA,749
13,23326,KOLHAPURLAXMIPURI,SPILT GERRN GRAM,2016,JULY,100,8015,8763,8377,2016-07,KOLHAPUR,MAHARASHTRA,748
8,25180,AHMEDPUR,PIGEON PEA TUR,2014,NOVEMBER,52,3925,4673,4288,2014-11,LATUR,MAHARASHTRA,748
12,43693,INDAPUR,SORGUMJAWAR,2016,MAY,1558,1810,2557,2120,2016-05,PUNE,MAHARASHTRA,747
8,37953,MURUM,PIGEON PEA TUR,2015,MARCH,4879,5556,6303,5941,2015-03,OSMANABAD,MAHARASHTRA,747
17,24684,AUSA,WHEATHUSKED,2015,JANUARY,173,1488,2235,1642,2015-01,LATUR,MAHARASHTRA,747
8,14686,MALKAPUR,PIGEON PEA TUR,2016,OCTOBER,4865,5867,6613,6422,2016-10,BULDHANA,MAHARASHTRA,746
8,33764,YEOLA,PIGEON PEA TUR,2016,APRIL,3,7126,7872,7359,2016-04,NASIK,MAHARASHTRA,746
12,39960,INDAPUR NIMGAON KETKI,SORGUMJAWAR,2016,APRIL,58,1528,2274,1992,2016-04,PUNE,MAHARASHTRA,746
11,37660,UMARGA,SESAMUM,2015,JANUARY,48,7866,8612,8321,2015-01,OSMANABAD,MAHARASHTRA,746
17,11099,MAJALGAON,WHEATHUSKED,2015,JUNE,469,1356,2101,1772,2015-06,BEED,MAHARASHTRA,745
8,7542,ANAJNGAON SURJI,PIGEON PEA TUR,2016,OCTOBER,654,5556,6300,5928,2016-10,AMARAVATHI,MAHARASHTRA,744
8,25273,UDGIR,PIGEON PEA TUR,2014,NOVEMBER,792,4689,5433,5033,2014-11,LATUR,MAHARASHTRA,744
0,56055,ULHASNAGAR,BAJRI,2016,JUNE,990,1714,2457,2021,2016-06,THANE,MAHARASHTRA,743
8,21514,MANTHA,PIGEON PEA TUR,2015,DECEMBER,743,7845,8588,8327,2015-12,JALNA,MAHARASHTRA,743
8,57005,SAMUDRAPUR,PIGEON PEA TUR,2016,FEBRUARY,533,6954,7696,7335,2016-02,WARDHA,MAHARASHTRA,742
12,51890,MANGALWEDHA,SORGUMJAWAR,2016,FEBRUARY,1330,1622,2364,1985,2016-02,SOLAPUR,MAHARASHTRA,742
17,11596,GEVRAI,WHEATHUSKED,2016,OCTOBER,174,1551,2293,1947,2016-10,BEED,MAHARASHTRA,742
8,40905,DOUND,PIGEON PEA TUR,2015,DECEMBER,43,6540,7282,6950,2015-12,PUNE,MAHARASHTRA,742
8,58335,WASHIM,PIGEON PEA TUR,2015,SEPTEMBER,1051,9132,9874,9475,2015-09,WASIM,MAHARASHTRA,742
12,1050,AHMEDNAGAR,SORGUMJAWAR,2016,FEBRUARY,6534,1636,2377,2163,2016-02,AHMADNAGAR,MAHARASHTRA,741
8,8398,LASUR STATION,PIGEON PEA TUR,2015,DECEMBER,7890,7982,8723,8553,2015-12,AURANGABAD,MAHARASHTRA,741
8,6427,MORSHI,PIGEON PEA TUR,2016,JANUARY,12735,8067,8807,8238,2016-01,AMARAVATHI,MAHARASHTRA,740
12,54283,KURDWADI,SORGUMJAWAR,2016,OCTOBER,168,1628,2368,1998,2016-10,SOLAPUR,MAHARASHTRA,740
8,7005,DHAMANGAONRLY,PIGEON PEA TUR,2015,MARCH,6975,5393,6133,5793,2015-03,AMARAVATHI,MAHARASHTRA,740
8,27549,SAVNER,PIGEON PEA TUR,2015,APRIL,1997,5573,6313,5943,2015-04,NAGPUR,MAHARASHTRA,740
12,41066,NIRASASWAD,SORGUMJAWAR,2015,DECEMBER,877,1610,2350,2025,2015-12,PUNE,MAHARASHTRA,740
17,48103,LONAND,WHEATHUSKED,2015,APRIL,747,1450,2190,1830,2015-04,SATARA,MAHARASHTRA,740
3,44363,PUNE,GRNUT KERNELS,2014,NOVEMBER,622,6760,7500,7088,2014-11,PUNE,MAHARASHTRA,740
8,59312,VANI,PIGEON PEA TUR,2016,MAY,2951,7827,8566,8401,2016-05,YEWATMAL,MAHARASHTRA,739
7,17832,CHAMORSHI,PADDYUNHUSKED,2015,OCTOBER,9996,1925,2664,1990,2015-10,GADCHIROLI,MAHARASHTRA,739
7,25284,AHMEDPUR,PADDYUNHUSKED,2015,OCTOBER,3,621,1360,1360,2015-10,LATUR,MAHARASHTRA,739
12,40899,DOUND,SORGUMJAWAR,2015,DECEMBER,3649,1846,2585,2157,2015-12,PUNE,MAHARASHTRA,739
8,4653,MURTIZAPUR,PIGEON PEA TUR,2014,DECEMBER,206,4452,5191,4901,2014-12,AKOLA,MAHARASHTRA,739
8,18211,AKHADABALAPUR,PIGEON PEA TUR,2016,JANUARY,1067,7785,8523,8154,2016-01,HINGOLI,MAHARASHTRA,738
8,58669,AARNI,PIGEON PEA TUR,2016,FEBRUARY,8657,7549,8287,8034,2016-02,YEWATMAL,MAHARASHTRA,738
8,60230,MALKAPUR,PIGEON PEA TUR,2016,NOVEMBER,1626,5260,5998,5737,2016-11,BULDHANA,MAHARASHTRA,738
12,50911,MOHOL,SORGUMJAWAR,2016,APRIL,469,1744,2482,2186,2016-04,SOLAPUR,MAHARASHTRA,738
12,54819,KURDWADIMODNIMB,SORGUMJAWAR,2016,SEPTEMBER,124,1696,2434,1890,2016-09,SOLAPUR,MAHARASHTRA,738
8,30252,SAVNER,PIGEON PEA TUR,2015,MAY,415,6320,7058,6689,2015-05,NAGPUR,MAHARASHTRA,738
17,42763,INDAPUR,WHEATHUSKED,2016,JUNE,372,1638,2375,2080,2016-06,PUNE,MAHARASHTRA,737
12,52514,BARSHIVAIRAG,SORGUMJAWAR,2015,JULY,1855,1538,2275,1781,2015-07,SOLAPUR,MAHARASHTRA,737
17,37062,UMARGA,WHEATHUSKED,2015,APRIL,110,1443,2180,2019,2015-04,OSMANABAD,MAHARASHTRA,737
8,14735,NANDURA,PIGEON PEA TUR,2016,OCTOBER,2507,5905,6641,6641,2016-10,BULDHANA,MAHARASHTRA,736
8,15861,CHANDRAPUR,PIGEON PEA TUR,2016,MAY,304,7653,8389,8229,2016-05,CHANDRAPUR,MAHARASHTRA,736
8,28496,RAMTEK,PIGEON PEA TUR,2016,FEBRUARY,1501,6275,7011,6641,2016-02,NAGPUR,MAHARASHTRA,736
8,33155,SHAHADA,PIGEON PEA TUR,2016,MARCH,21,6400,7136,6760,2016-03,NANDURBAR,MAHARASHTRA,736
8,57069,SINDI,PIGEON PEA TUR,2016,JANUARY,874,7889,8625,8306,2016-01,WARDHA,MAHARASHTRA,736
12,2510,JAMKHED,SORGUMJAWAR,2016,MARCH,20730,1612,2348,1980,2016-03,AHMADNAGAR,MAHARASHTRA,736
17,10610,GEVRAI,WHEATHUSKED,2016,FEBRUARY,876,1576,2312,1851,2016-02,BEED,MAHARASHTRA,736
12,57821,WASHIM,SORGUMJAWAR,2015,JULY,393,1215,1951,1836,2015-07,WASIM,MAHARASHTRA,736
8,12371,TUMSAR,PIGEON PEA TUR,2016,MAY,135,6950,7685,7376,2016-05,BHANDARA,MAHARASHTRA,735
8,34657,KALVAN,PIGEON PEA TUR,2016,JANUARY,211,6696,7431,7289,2016-01,NASIK,MAHARASHTRA,735
12,52906,MANGALWEDHA,SORGUMJAWAR,2016,JUNE,1022,1604,2339,2091,2016-06,SOLAPUR,MAHARASHTRA,735
8,12594,LONAR,PIGEON PEA TUR,2015,APRIL,13950,5975,6710,6343,2015-04,BULDHANA,MAHARASHTRA,735
17,52238,MANGALWEDHA,WHEATHUSKED,2015,JANUARY,123,1442,2177,1806,2015-01,SOLAPUR,MAHARASHTRA,735
8,60486,NAGPUR,PIGEON PEA TUR,2016,NOVEMBER,876,4733,5467,5286,2016-11,NAGPUR,MAHARASHTRA,734
17,10209,KADA,WHEATHUSKED,2016,APRIL,36,1533,2267,1958,2016-04,BEED,MAHARASHTRA,734
12,22590,MANTHA,SORGUMJAWAR,2014,SEPTEMBER,352,1133,1867,1547,2014-09,JALNA,MAHARASHTRA,734
0,61195,JALNA,BAJRI,2016,NOVEMBER,4899,1226,1959,1437,2016-11,JALNA,MAHARASHTRA,733
8,9279,SILLODBHARADI,PIGEON PEA TUR,2016,MARCH,38,6367,7100,6733,2016-03,AURANGABAD,MAHARASHTRA,733
8,10644,KADA,PIGEON PEA TUR,2016,FEBRUARY,101,6900,7633,7267,2016-02,BEED,MAHARASHTRA,733
8,13350,JALGAON JAMODAASALGAON,PIGEON PEA TUR,2015,JANUARY,3328,3956,4689,4339,2015-01,BULDHANA,MAHARASHTRA,733
8,59264,PANDHARKAWADA,PIGEON PEA TUR,2015,MAY,33,5600,6333,5967,2015-05,YEWATMAL,MAHARASHTRA,733
9,56658,KALYAN,RICEPADDYHUS,2015,SEPTEMBER,9,2367,3100,2783,2015-09,THANE,MAHARASHTRA,733
12,37560,OSMANABAD,SORGUMJAWAR,2015,JANUARY,433,1479,2212,1813,2015-01,OSMANABAD,MAHARASHTRA,733
8,36990,MURUM,PIGEON PEA TUR,2016,APRIL,3590,8699,9431,9080,2016-04,OSMANABAD,MAHARASHTRA,732
8,56981,ASHTIKARANJA,PIGEON PEA TUR,2016,FEBRUARY,10596,6903,7635,7294,2016-02,WARDHA,MAHARASHTRA,732
8,59190,VANI,PIGEON PEA TUR,2016,MARCH,5946,7189,7921,7626,2016-03,YEWATMAL,MAHARASHTRA,732
9,55281,PALGHARBEVUR,RICEPADDYHUS,2016,AUGUST,7833,2598,3330,2875,2016-08,THANE,MAHARASHTRA,732
12,9393,LASUR STATION,SORGUMJAWAR,2016,MAY,4341,1596,2328,1827,2016-05,AURANGABAD,MAHARASHTRA,732
17,25408,LATURMURUD,WHEATHUSKED,2015,OCTOBER,919,1433,2165,1698,2015-10,LATUR,MAHARASHTRA,732
8,5586,CHANDUR RLY,PIGEON PEA TUR,2016,APRIL,2050,8360,9091,8861,2016-04,AMARAVATHI,MAHARASHTRA,731
8,37809,MURUM,PIGEON PEA TUR,2016,JUNE,2579,8286,9017,8651,2016-06,OSMANABAD,MAHARASHTRA,731
12,42802,INDAPURBHIGWAN,SORGUMJAWAR,2016,JUNE,1649,1784,2515,2000,2016-06,PUNE,MAHARASHTRA,731
8,57778,KARANJA,PIGEON PEA TUR,2016,JULY,34900,7829,8559,8283,2016-07,WASIM,MAHARASHTRA,730
17,43861,NIRASASWAD,WHEATHUSKED,2016,MAY,710,1563,2293,1925,2016-05,PUNE,MAHARASHTRA,730
8,59061,PUSAD,PIGEON PEA TUR,2015,JUNE,90,6400,7130,6895,2015-06,YEWATMAL,MAHARASHTRA,730
12,42409,NIRA,SORGUMJAWAR,2015,JULY,292,1437,2167,1802,2015-07,PUNE,MAHARASHTRA,730
8,7006,DHAMANGAONRLY,PIGEON PEA TUR,2016,MARCH,10375,7438,8167,7823,2016-03,AMARAVATHI,MAHARASHTRA,729
8,39284,JINTURBORI,PIGEON PEA TUR,2015,MARCH,535,4746,5475,5179,2015-03,PARBHANI,MAHARASHTRA,729
8,28811,PARSHIWANI,PIGEON PEA TUR,2016,JANUARY,850,7566,8294,8012,2016-01,NAGPUR,MAHARASHTRA,728
12,52224,KURDWADIMODNIMB,SORGUMJAWAR,2016,JANUARY,368,1403,2131,1721,2016-01,SOLAPUR,MAHARASHTRA,728
17,42415,NIRASASWAD,WHEATHUSKED,2016,JULY,204,1568,2296,1932,2016-07,PUNE,MAHARASHTRA,728
12,44189,INDAPUR,SORGUMJAWAR,2015,NOVEMBER,189,1808,2536,2155,2015-11,PUNE,MAHARASHTRA,728
8,53754,BARSHI,PIGEON PEA TUR,2014,NOVEMBER,1039,3923,4651,4143,2014-11,SOLAPUR,MAHARASHTRA,728
12,10068,LASUR STATION,SORGUMJAWAR,2014,SEPTEMBER,2720,1186,1914,1493,2014-09,AURANGABAD,MAHARASHTRA,728
8,13192,LONAR,PIGEON PEA TUR,2016,FEBRUARY,5835,7655,8382,8035,2016-02,BULDHANA,MAHARASHTRA,727
8,25158,UDGIR,PIGEON PEA TUR,2015,MAY,1956,6623,7350,6987,2015-05,LATUR,MAHARASHTRA,727
12,52905,MANGALWEDHA,SORGUMJAWAR,2015,JUNE,744,1163,1890,1754,2015-06,SOLAPUR,MAHARASHTRA,727
17,16248,DHULE,WHEATHUSKED,2015,APRIL,34745,1144,1871,1474,2015-04,DHULE,MAHARASHTRA,727
12,33430,DHADGAON,SORGUMJAWAR,2016,SEPTEMBER,883,1460,2186,1489,2016-09,NANDURBAR,MAHARASHTRA,726
17,48748,PHALTAN,WHEATHUSKED,2016,FEBRUARY,1107,1525,2251,1820,2016-02,SATARA,MAHARASHTRA,726
8,11077,KEJ,PIGEON PEA TUR,2015,JUNE,31,5619,6345,5772,2015-06,BEED,MAHARASHTRA,726
12,44178,DOUND,SORGUMJAWAR,2014,NOVEMBER,519,2010,2736,2481,2014-11,PUNE,MAHARASHTRA,726
8,41955,NIRASASWAD,PIGEON PEA TUR,2016,JANUARY,19,6300,7025,6663,2016-01,PUNE,MAHARASHTRA,725
8,59746,YEOTMAL,PIGEON PEA TUR,2016,SEPTEMBER,4830,6141,6866,6476,2016-09,YEWATMAL,MAHARASHTRA,725
11,24358,AHMEDPUR,SESAMUM,2016,AUGUST,7,4825,5550,5538,2016-08,LATUR,MAHARASHTRA,725
17,2179,AKOLE,WHEATHUSKED,2016,JUNE,85,1475,2200,1788,2016-06,AHMADNAGAR,MAHARASHTRA,725
17,49721,LONAND,WHEATHUSKED,2016,MAY,188,1475,2200,1825,2016-05,SATARA,MAHARASHTRA,725
0,50527,PHALTAN,BAJRI,2015,SEPTEMBER,1012,1283,2008,1717,2015-09,SATARA,MAHARASHTRA,725
8,5813,DHAMANGAONRLY,PIGEON PEA TUR,2015,AUGUST,460,7600,8325,7850,2015-08,AMARAVATHI,MAHARASHTRA,725
8,7258,AMARAWATI,PIGEON PEA TUR,2015,NOVEMBER,51,8488,9213,8798,2015-11,AMARAVATHI,MAHARASHTRA,725
12,38161,KALAMB OS,SORGUMJAWAR,2014,NOVEMBER,2242,1423,2148,1742,2014-11,OSMANABAD,MAHARASHTRA,725
17,56070,VASAI,WHEATHUSKED,2016,JUNE,8408,1678,2401,1983,2016-06,THANE,MAHARASHTRA,723
8,16853,DHULE,PIGEON PEA TUR,2015,JUNE,185,5028,5751,5666,2015-06,DHULE,MAHARASHTRA,723
8,51509,DUDHANI,PIGEON PEA TUR,2014,DECEMBER,4888,4388,5111,4976,2014-12,SOLAPUR,MAHARASHTRA,723
8,51627,SOLAPUR,PIGEON PEA TUR,2014,DECEMBER,3226,4553,5276,5037,2014-12,SOLAPUR,MAHARASHTRA,723
12,43659,BARAMATI,SORGUMJAWAR,2016,MAY,2796,1602,2324,1886,2016-05,PUNE,MAHARASHTRA,722
17,8520,GANGAPUR,WHEATHUSKED,2016,FEBRUARY,182,1595,2317,1666,2016-02,AURANGABAD,MAHARASHTRA,722
0,10665,KILLE DHARUR,BAJRI,2015,FEBRUARY,34,1391,2113,1655,2015-02,BEED,MAHARASHTRA,722
8,31560,BHOKAR,PIGEON PEA TUR,2015,APRIL,2141,5478,6200,5740,2015-04,NANDED,MAHARASHTRA,722
8,37072,UMARGA,PIGEON PEA TUR,2015,APRIL,323,5744,6466,6244,2015-04,OSMANABAD,MAHARASHTRA,722
17,11365,MAJALGAON,WHEATHUSKED,2015,MAY,480,1387,2109,1747,2015-05,BEED,MAHARASHTRA,722
8,5988,DARYAPUR,PIGEON PEA TUR,2014,DECEMBER,233,4217,4939,4647,2014-12,AMARAVATHI,MAHARASHTRA,722
8,57061,SAMUDRAPUR,PIGEON PEA TUR,2016,JANUARY,514,7840,8561,8192,2016-01,WARDHA,MAHARASHTRA,721
8,4943,AKOLA,PIGEON PEA TUR,2016,JUNE,21276,8231,8951,8612,2016-06,AKOLA,MAHARASHTRA,720
8,12566,JALGAON JAMODAASALGAON,PIGEON PEA TUR,2016,APRIL,1940,7960,8680,8530,2016-04,BULDHANA,MAHARASHTRA,720
8,39348,SONPETH,PIGEON PEA TUR,2016,MARCH,266,7164,7884,7507,2016-03,PARBHANI,MAHARASHTRA,720
17,30260,UMARED,WHEATHUSKED,2016,MAY,3028,1600,2320,2020,2016-05,NAGPUR,MAHARASHTRA,720
8,4829,PATUR,PIGEON PEA TUR,2015,JANUARY,1649,4530,5250,4397,2015-01,AKOLA,MAHARASHTRA,720
8,22613,PARTUR,PIGEON PEA TUR,2015,SEPTEMBER,15,7440,8160,7924,2015-09,JALNA,MAHARASHTRA,720
8,57466,MANORA,PIGEON PEA TUR,2015,APRIL,4293,5760,6480,5988,2015-04,WASIM,MAHARASHTRA,720
17,27556,UMARED,WHEATHUSKED,2016,APRIL,8338,1525,2244,1925,2016-04,NAGPUR,MAHARASHTRA,719
17,61103,GEVRAI,WHEATHUSKED,2016,NOVEMBER,500,1654,2373,2004,2016-11,BEED,MAHARASHTRA,719
8,4727,MURTIZAPUR,PIGEON PEA TUR,2015,FEBRUARY,26700,5022,5741,5375,2015-02,AKOLA,MAHARASHTRA,719
8,58646,VANI,PIGEON PEA TUR,2015,DECEMBER,1692,7634,8353,8127,2015-12,YEWATMAL,MAHARASHTRA,719
17,56821,VASAI,WHEATHUSKED,2015,SEPTEMBER,2790,1530,2249,1829,2015-09,THANE,MAHARASHTRA,719
2,27341,KATOL,COTTON,2016,APRIL,4850,4047,4765,4541,2016-04,NAGPUR,MAHARASHTRA,718
12,11858,KADA,SORGUMJAWAR,2016,SEPTEMBER,1596,1611,2329,1972,2016-09,BEED,MAHARASHTRA,718
17,51874,KURDWADIMODNIMB,WHEATHUSKED,2016,FEBRUARY,32,1529,2247,1636,2016-02,SOLAPUR,MAHARASHTRA,718
8,9251,LASUR STATION,PIGEON PEA TUR,2015,MARCH,1358,4693,5411,5320,2015-03,AURANGABAD,MAHARASHTRA,718
8,37896,UMARGA,PIGEON PEA TUR,2015,JUNE,90,6234,6952,6780,2015-06,OSMANABAD,MAHARASHTRA,718
8,38750,PARBHANI,PIGEON PEA TUR,2015,AUGUST,243,8090,8808,8576,2015-08,PARBHANI,MAHARASHTRA,718
17,37213,KALAMB OS,WHEATHUSKED,2015,DECEMBER,237,1757,2475,2069,2015-12,OSMANABAD,MAHARASHTRA,718
12,17230,DHULE,SORGUMJAWAR,2014,OCTOBER,657,1516,2234,1695,2014-10,DHULE,MAHARASHTRA,718
8,12595,LONAR,PIGEON PEA TUR,2016,APRIL,6530,8449,9166,8805,2016-04,BULDHANA,MAHARASHTRA,717
8,3152,AHMEDNAGAR,PIGEON PEA TUR,2015,NOVEMBER,70,8050,8767,8425,2015-11,AHMADNAGAR,MAHARASHTRA,717
8,5966,CHANDUR BAJAR,PIGEON PEA TUR,2014,DECEMBER,725,4300,5017,4825,2014-12,AMARAVATHI,MAHARASHTRA,717
8,7884,DHAMANGAONRLY,PIGEON PEA TUR,2016,SEPTEMBER,6475,6100,6816,6365,2016-09,AMARAVATHI,MAHARASHTRA,716
17,38077,OSMANABAD,WHEATHUSKED,2016,MAY,37,1901,2617,2117,2016-05,OSMANABAD,MAHARASHTRA,716
8,13678,SANGRAMPURVARVATBAKAL,PIGEON PEA TUR,2016,JULY,298,7371,8086,7900,2016-07,BULDHANA,MAHARASHTRA,715
8,14111,SHEGAON,PIGEON PEA TUR,2016,MARCH,3124,7567,8282,7924,2016-03,BULDHANA,MAHARASHTRA,715
8,4786,AKOT,PIGEON PEA TUR,2015,JANUARY,724,4125,4840,4675,2015-01,AKOLA,MAHARASHTRA,715
8,13984,JALGAON JAMODAASALGAON,PIGEON PEA TUR,2015,MARCH,3609,4971,5686,5329,2015-03,BULDHANA,MAHARASHTRA,715
8,5267,AKOLA,PIGEON PEA TUR,2016,OCTOBER,9161,5998,6712,6355,2016-10,AKOLA,MAHARASHTRA,714
8,57240,ARVI,PIGEON PEA TUR,2015,MAY,2335,6514,7228,6911,2015-05,WARDHA,MAHARASHTRA,714
12,10472,GEVRAI,SORGUMJAWAR,2014,DECEMBER,730,1625,2339,2027,2014-12,BEED,MAHARASHTRA,714
8,27713,NAGPUR,PIGEON PEA TUR,2016,AUGUST,3430,5663,6376,6176,2016-08,NAGPUR,MAHARASHTRA,713
8,31561,BHOKAR,PIGEON PEA TUR,2016,APRIL,2710,8350,9063,8769,2016-04,NANDED,MAHARASHTRA,713
17,59851,UMARED,WHEATHUSKED,2016,NOVEMBER,1593,1600,2313,1981,2016-11,NAGPUR,MAHARASHTRA,713
12,44836,NIRA,SORGUMJAWAR,2015,OCTOBER,466,1550,2263,1931,2015-10,PUNE,MAHARASHTRA,713
12,11570,BEED,SORGUMJAWAR,2014,OCTOBER,789,1614,2327,2051,2014-10,BEED,MAHARASHTRA,713
2,11208,KILLE DHARUR,COTTON,2016,MARCH,28715,3867,4579,4515,2016-03,BEED,MAHARASHTRA,712
12,61334,OSMANABAD,SORGUMJAWAR,2016,NOVEMBER,97,1851,2563,2325,2016-11,OSMANABAD,MAHARASHTRA,712
17,37504,KALAMB OS,WHEATHUSKED,2016,JANUARY,109,1605,2317,1860,2016-01,OSMANABAD,MAHARASHTRA,712
8,17251,DHULE,PIGEON PEA TUR,2015,OCTOBER,137,8434,9146,8875,2015-10,DHULE,MAHARASHTRA,712
8,51922,MOHOL,PIGEON PEA TUR,2015,FEBRUARY,56,4663,5375,5229,2015-02,SOLAPUR,MAHARASHTRA,712
12,45298,INDAPUR,SORGUMJAWAR,2015,SEPTEMBER,226,1641,2353,2019,2015-09,PUNE,MAHARASHTRA,712
12,54620,BARSHI,SORGUMJAWAR,2015,SEPTEMBER,11232,1647,2359,1993,2015-09,SOLAPUR,MAHARASHTRA,712
0,22227,JALNA,BAJRI,2014,NOVEMBER,9123,1050,1762,1471,2014-11,JALNA,MAHARASHTRA,712
8,6633,NANDGAON KHANDESHWAR,PIGEON PEA TUR,2016,JULY,896,7692,8403,8047,2016-07,AMARAVATHI,MAHARASHTRA,711
8,24262,AUSA,PIGEON PEA TUR,2016,APRIL,359,8583,9294,9058,2016-04,LATUR,MAHARASHTRA,711
8,29196,UMARED,PIGEON PEA TUR,2016,JULY,349,7133,7844,7611,2016-07,NAGPUR,MAHARASHTRA,711
12,10069,LASUR STATION,SORGUMJAWAR,2015,SEPTEMBER,1773,1360,2071,1689,2015-09,AURANGABAD,MAHARASHTRA,711
18,51547,MANGALWEDHA,WHEATUNHUSKED,2015,DECEMBER,36,2840,3550,3500,2015-12,SOLAPUR,MAHARASHTRA,710
